2022 National Employment Matrix title,2022 National Employment Matrix code,Occupation type,"Employment, 2022","Employment, 2032","Employment distribution, percent, 2022","Employment distribution, percent, 2032","Employment change, numeric, 2022-32","Employment change, percent, 2022-32","Occupational openings, 2022-32 annual average"
    Other construction and related workers,47-4000,Summary,480.9,494.3,0.3,0.3,13.4,2.8,48.3
      Construction and building inspectors,47-4011,Line item,142.4,140.2,0.1,0.1,-2.2,-1.5,15.7
      Elevator and escalator installers and repairers,47-4021,Line item,25.1,25.5,0.0,0.0,0.4,1.5,2.1
      Fence erectors,47-4031,Line item,35.2,34.9,0.0,0.0,-0.3,-0.7,2.9
      Hazardous materials removal workers,47-4041,Line item,48.7,49.1,0.0,0.0,0.4,0.8,5.2
      Highway maintenance workers,47-4051,Line item,151.2,163.2,0.1,0.1,12.0,7.9,15.2
      Rail-track laying and maintenance equipment operators,47-4061,Line item,16.5,16.7,0.0,0.0,0.2,1.4,1.2
      Septic tank servicers and sewer pipe cleaners,47-4071,Line item,29.5,31.7,0.0,0.0,2.2,7.4,3.0
      Miscellaneous construction and related workers,47-4090,Line item,32.3,33.0,0.0,0.0,0.6,2.0,3.0
    Extraction workers,47-5000,Summary,209.5,207.8,0.1,0.1,-1.7,-0.8,21.1
"      Derrick, rotary drill, and service unit operators, oil and gas",47-5010,Summary,64.6,64.7,0.0,0.0,0.1,0.2,6.5
"        Derrick operators, oil and gas",47-5011,Line item,11.9,11.9,0.0,0.0,0.1,0.5,1.2
"        Rotary drill operators, oil and gas",47-5012,Line item,13.2,13.2,0.0,0.0,0.0,0.1,1.3
"        Service unit operators, oil and gas",47-5013,Line item,39.5,39.5,0.0,0.0,0.1,0.1,4.0
      Surface mining machine operators and earth drillers,47-5020,Summary,56.8,55.8,0.0,0.0,-0.9,-1.7,5.5
"        Excavating and loading machine and dragline operators, surface mining",47-5022,Line item,36.4,35.0,0.0,0.0,-1.4,-3.8,3.4
"        Earth drillers, except oil and gas",47-5023,Line item,20.4,20.8,0.0,0.0,0.4,2.2,2.1
"      Explosives workers, ordnance handling experts, and blasters",47-5032,Line item,4.9,4.9,0.0,0.0,0.1,1.1,0.4
      Underground mining machine operators,47-5040,Summary,23.4,21.2,0.0,0.0,-2.2,-9.3,2.2
        Continuous mining machine operators,47-5041,Line item,13.9,13.5,0.0,0.0,-0.4,-3.2,1.4
"        Roof bolters, mining",47-5043,Line item,1.8,1.3,0.0,0.0,-0.5,-28.5,0.1
"        Loading and moving machine operators, underground mining",47-5044,Line item,5.4,4.4,0.0,0.0,-1.0,-17.7,0.4
"        Underground mining machine operators, all other",47-5049,Line item,2.3,2.0,0.0,0.0,-0.3,-12.5,0.2
"      Rock splitters, quarry",47-5051,Line item,4.1,4.1,0.0,0.0,0.1,1.9,0.5
"      Roustabouts, oil and gas",47-5071,Line item,42.1,43.3,0.0,0.0,1.2,2.9,4.4
      Helpers--extraction workers,47-5081,Line item,7.2,7.2,0.0,0.0,0.1,0.8,0.8
"      Extraction workers, all other",47-5099,Line item,6.6,6.4,0.0,0.0,-0.1,-1.8,0.7
"  Installation, maintenance, and repair occupations",49-0000,Summary,"6,315.3","6,543.7",3.8,3.9,228.4,3.6,582.1
"    Supervisors of installation, maintenance, and repair workers",49-1000,Summary,576.2,590.2,0.4,0.3,14.0,2.4,49.2
"      First-line supervisors of mechanics, installers, and repairers",49-1011,Line item,576.2,590.2,0.4,0.3,14.0,2.4,49.2
"    Electrical and electronic equipment mechanics, installers, and repairers",49-2000,Summary,527.5,528.0,0.3,0.3,0.5,0.1,50.5
"      Computer, automated teller, and office machine repairers",49-2011,Line item,96.4,86.0,0.1,0.1,-10.4,-10.8,7.7
      Radio and telecommunications equipment installers and repairers,49-2020,Summary,187.1,198.6,0.1,0.1,11.4,6.1,20.5
"        Radio, cellular, and tower equipment installers and repairers",49-2021,Line item,13.5,13.9,0.0,0.0,0.5,3.4,1.4
"        Telecommunications equipment installers and repairers, except line installers",49-2022,Line item,173.7,184.7,0.1,0.1,11.0,6.3,19.1
"      Miscellaneous electrical and electronic equipment mechanics, installers, and repairers",49-2090,Summary,244.0,243.4,0.1,0.1,-0.6,-0.2,22.3
        Avionics technicians,49-2091,Line item,20.8,21.7,0.0,0.0,0.9,4.3,1.9
"        Electric motor, power tool, and related repairers",49-2092,Line item,16.1,16.5,0.0,0.0,0.4,2.5,1.3
"        Electrical and electronics installers and repairers, transportation equipment",49-2093,Line item,7.9,8.3,0.0,0.0,0.4,4.8,0.7
"        Electrical and electronics repairers, commercial and industrial equipment",49-2094,Line item,53.6,53.2,0.0,0.0,-0.4,-0.7,4.4
"        Electrical and electronics repairers, powerhouse, substation, and relay",49-2095,Line item,26.1,25.4,0.0,0.0,-0.7,-2.7,2.1
"        Electronic equipment installers and repairers, motor vehicles",49-2096,Line item,9.7,7.9,0.0,0.0,-1.7,-18.0,0.6
        Audiovisual equipment installers and repairers,49-2097,Line item,26.9,25.2,0.0,0.0,-1.8,-6.5,2.3
        Security and fire alarm systems installers,49-2098,Line item,83.0,85.3,0.1,0.1,2.3,2.8,8.9
"    Vehicle and mobile equipment mechanics, installers, and repairers",49-3000,Summary,"1,847.8","1,890.4",1.1,1.1,42.5,2.3,163.7
      Aircraft mechanics and service technicians,49-3011,Line item,140.2,146.2,0.1,0.1,6.1,4.3,10.9
      Automotive technicians and repairers,49-3020,Summary,957.4,972.4,0.6,0.6,15.0,1.6,82.8
        Automotive body and related repairers,49-3021,Line item,153.3,155.2,0.1,0.1,1.9,1.2,13.4
        Automotive glass installers and repairers,49-3022,Line item,21.9,22.2,0.0,0.0,0.4,1.7,1.7
        Automotive service technicians and mechanics,49-3023,Line item,782.2,795.0,0.5,0.5,12.8,1.6,67.7
      Bus and truck mechanics and diesel engine specialists,49-3031,Line item,291.6,294.1,0.2,0.2,2.5,0.9,24.3
      Heavy vehicle and mobile equipment service technicians and mechanics,49-3040,Summary,234.8,247.8,0.1,0.1,13.0,5.5,21.1
        Farm equipment mechanics and service technicians,49-3041,Line item,45.6,49.3,0.0,0.0,3.7,8.1,4.3
"        Mobile heavy equipment mechanics, except engines",49-3042,Line item,169.1,177.6,0.1,0.1,8.6,5.1,15.1
        Rail car repairers,49-3043,Line item,20.1,20.8,0.0,0.0,0.7,3.6,1.8
      Small engine mechanics,49-3050,Summary,88.0,90.5,0.1,0.1,2.5,2.8,9.0
        Motorboat mechanics and service technicians,49-3051,Line item,29.3,31.0,0.0,0.0,1.7,5.7,3.1
        Motorcycle mechanics,49-3052,Line item,17.1,17.4,0.0,0.0,0.3,1.8,1.7
        Outdoor power equipment and other small engine mechanics,49-3053,Line item,41.6,42.1,0.0,0.0,0.5,1.2,4.2
"      Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",49-3090,Summary,135.9,139.3,0.1,0.1,3.4,2.5,15.5
        Bicycle repairers,49-3091,Line item,14.4,14.9,0.0,0.0,0.5,3.8,1.7
        Recreational vehicle service technicians,49-3092,Line item,17.7,19.4,0.0,0.0,1.7,9.8,2.2
        Tire repairers and changers,49-3093,Line item,103.8,105.0,0.1,0.1,1.2,1.1,11.6
"    Other installation, maintenance, and repair occupations",49-9000,Summary,"3,363.8","3,535.2",2.0,2.1,171.5,5.1,318.7
      Control and valve installers and repairers,49-9010,Summary,75.9,78.3,0.0,0.0,2.4,3.2,5.9
        Mechanical door repairers,49-9011,Line item,28.0,30.6,0.0,0.0,2.7,9.6,2.4
"        Control and valve installers and repairers, except mechanical door",49-9012,Line item,47.9,47.6,0.0,0.0,-0.3,-0.6,3.4
"      Heating, air conditioning, and refrigeration mechanics and installers",49-9021,Line item,415.8,438.8,0.3,0.3,23.0,5.5,37.7
      Home appliance repairers,49-9031,Line item,36.6,35.1,0.0,0.0,-1.6,-4.3,2.9
"      Industrial machinery installation, repair, and maintenance workers",49-9040,Summary,508.5,573.1,0.3,0.3,64.6,12.7,49.1
        Industrial machinery mechanics,49-9041,Line item,402.2,462.1,0.2,0.3,59.9,14.9,39.2
"        Maintenance workers, machinery",49-9043,Line item,63.6,67.1,0.0,0.0,3.5,5.5,6.4
        Millwrights,49-9044,Line item,42.1,43.4,0.0,0.0,1.3,3.0,3.5
"        Refractory materials repairers, except brickmasons",49-9045,Line item,0.6,0.5,0.0,0.0,-0.1,-21.4,0.0
      Line installers and repairers,49-9050,Summary,234.5,245.5,0.1,0.1,11.0,4.7,20.6
        Electrical power-line installers and repairers,49-9051,Line item,122.4,125.8,0.1,0.1,3.5,2.8,9.7
        Telecommunications line installers and repairers,49-9052,Line item,112.1,119.6,0.1,0.1,7.5,6.7,11.0
      Precision instrument and equipment repairers,49-9060,Summary,89.9,97.5,0.1,0.1,7.5,8.4,9.2
        Camera and photographic equipment repairers,49-9061,Line item,2.4,2.4,0.0,0.0,0.0,1.1,0.2
        Medical equipment repairers,49-9062,Line item,66.4,75.1,0.0,0.0,8.8,13.2,7.3
        Musical instrument repairers and tuners,49-9063,Line item,7.0,6.3,0.0,0.0,-0.7,-9.4,0.5
        Watch and clock repairers,49-9064,Line item,2.1,1.4,0.0,0.0,-0.6,-29.8,0.1
"        Precision instrument and equipment repairers, all other",49-9069,Line item,12.1,12.1,0.0,0.0,0.0,0.0,1.1
"      Maintenance and repair workers, general",49-9071,Line item,"1,607.2","1,664.4",1.0,1.0,57.2,3.6,152.4
      Wind turbine service technicians,49-9081,Line item,11.2,16.2,0.0,0.0,5.0,44.9,1.8
"      Miscellaneous installation, maintenance, and repair workers",49-9090,Summary,384.1,386.5,0.2,0.2,2.4,0.6,39.1
"        Coin, vending, and amusement machine servicers and repairers",49-9091,Line item,39.2,38.5,0.0,0.0,-0.7,-1.7,4.2
        Commercial divers,49-9092,Line item,4.4,4.7,0.0,0.0,0.3,6.0,0.5
        Locksmiths and safe repairers,49-9094,Line item,18.2,16.1,0.0,0.0,-2.0,-11.1,1.7
        Manufactured building and mobile home installers,49-9095,Line item,4.1,3.2,0.0,0.0,-0.9,-21.0,0.3
        Riggers,49-9096,Line item,19.7,20.0,0.0,0.0,0.3,1.4,2.0
        Signal and track switch repairers,49-9097,Line item,6.6,6.7,0.0,0.0,0.1,1.2,0.6
"        Helpers--installation, maintenance, and repair workers",49-9098,Line item,96.5,98.9,0.1,0.1,2.4,2.5,11.0
"        Installation, maintenance, and repair workers, all other",49-9099,Line item,195.4,198.3,0.1,0.1,2.9,1.5,18.8
  Production occupations,51-0000,Summary,"9,134.5","8,845.8",5.6,5.2,-288.7,-3.2,933.0
    Supervisors of production workers,51-1000,Summary,681.7,683.7,0.4,0.4,1.9,0.3,63.3
      First-line supervisors of production and operating workers,51-1011,Line item,681.7,683.7,0.4,0.4,1.9,0.3,63.3
    Assemblers and fabricators,51-2000,Summary,"1,961.9","1,836.2",1.2,1.1,-125.7,-6.4,188.6
"      Aircraft structure, surfaces, rigging, and systems assemblers",51-2011,Line item,33.9,28.8,0.0,0.0,-5.1,-15.2,2.8
"      Electrical, electronics, and electromechanical assemblers",51-2020,Summary,294.0,304.9,0.2,0.2,10.9,3.7,32.7
"        Coil winders, tapers, and finishers",51-2021,Line item,11.1,9.3,0.0,0.0,-1.8,-16.6,0.9
"        Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",51-2028,Line item,282.9,295.6,0.2,0.2,12.7,4.5,31.8
      Engine and other machine assemblers,51-2031,Line item,50.9,41.3,0.0,0.0,-9.6,-18.9,4.7
      Structural metal fabricators and fitters,51-2041,Line item,59.6,49.8,0.0,0.0,-9.8,-16.4,4.6
      Fiberglass laminators and fabricators,51-2051,Line item,22.6,22.5,0.0,0.0,-0.1,-0.3,2.4
      Timing device assemblers and adjusters,51-2061,Line item,0.4,0.3,0.0,0.0,-0.1,-18.7,0.0
      Miscellaneous assemblers and fabricators,51-2090,Line item,"1,500.4","1,388.6",0.9,0.8,-111.8,-7.5,141.4
    Food processing workers,51-3000,Summary,841.7,869.3,0.5,0.5,27.6,3.3,115.4
      Bakers,51-3011,Line item,218.8,229.6,0.1,0.1,10.8,4.9,33.8
"      Butchers and other meat, poultry, and fish processing workers",51-3020,Summary,353.8,354.1,0.2,0.2,0.4,0.1,41.7
        Butchers and meat cutters,51-3021,Line item,131.6,130.1,0.1,0.1,-1.6,-1.2,15.3
"        Meat, poultry, and fish cutters and trimmers",51-3022,Line item,141.0,143.8,0.1,0.1,2.8,2.0,17.0
        Slaughterers and meat packers,51-3023,Line item,81.1,80.3,0.0,0.0,-0.8,-1.0,9.4
      Miscellaneous food processing workers,51-3090,Summary,269.2,285.6,0.2,0.2,16.4,6.1,39.9
"        Food and tobacco roasting, baking, and drying machine operators and tenders",51-3091,Line item,21.5,22.2,0.0,0.0,0.7,3.0,3.0
        Food batchmakers,51-3092,Line item,171.5,185.0,0.1,0.1,13.4,7.8,27.8
        Food cooking machine operators and tenders,51-3093,Line item,27.3,27.7,0.0,0.0,0.4,1.6,3.9
"        Food processing workers, all other",51-3099,Line item,48.8,50.7,0.0,0.0,1.9,3.9,5.2
    Metal workers and plastic workers,51-4000,Summary,"1,693.4","1,640.7",1.0,1.0,-52.7,-3.1,156.9
"      Forming machine setters, operators, and tenders, metal and plastic",51-4020,Summary,103.4,97.5,0.1,0.1,-5.9,-5.7,9.6
"        Extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021,Line item,64.3,63.1,0.0,0.0,-1.2,-1.9,6.4
"        Forging machine setters, operators, and tenders, metal and plastic",51-4022,Line item,10.9,9.3,0.0,0.0,-1.6,-14.6,0.9
"        Rolling machine setters, operators, and tenders, metal and plastic",51-4023,Line item,28.2,25.1,0.0,0.0,-3.1,-11.0,2.4
"      Machine tool cutting setters, operators, and tenders, metal and plastic",51-4030,Summary,301.8,269.3,0.2,0.2,-32.5,-10.8,26.1
"        Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",51-4031,Line item,184.8,164.7,0.1,0.1,-20.1,-10.9,14.9
"        Drilling and boring machine tool setters, operators, and tenders, metal and plastic",51-4032,Line item,6.6,5.4,0.0,0.0,-1.2,-18.3,0.6
"        Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",51-4033,Line item,75.0,67.9,0.0,0.0,-7.1,-9.5,6.8
"        Lathe and turning machine tool setters, operators, and tenders, metal and plastic",51-4034,Line item,19.7,17.8,0.0,0.0,-1.9,-9.4,2.2
"        Milling and planing machine setters, operators, and tenders, metal and plastic",51-4035,Line item,15.7,13.5,0.0,0.0,-2.2,-13.9,1.6
      Machinists,51-4041,Line item,327.0,333.3,0.2,0.2,6.3,1.9,32.6
"      Metal furnace operators, tenders, pourers, and casters",51-4050,Summary,25.9,23.7,0.0,0.0,-2.2,-8.4,2.2
        Metal-refining furnace operators and tenders,51-4051,Line item,19.7,18.1,0.0,0.0,-1.6,-8.2,1.7
"        Pourers and casters, metal",51-4052,Line item,6.2,5.6,0.0,0.0,-0.6,-9.1,0.5
"      Model makers and patternmakers, metal and plastic",51-4060,Summary,5.7,4.5,0.0,0.0,-1.1,-19.9,0.3
"        Model makers, metal and plastic",51-4061,Line item,3.4,2.8,0.0,0.0,-0.6,-18.8,0.2
"        Patternmakers, metal and plastic",51-4062,Line item,2.3,1.8,0.0,0.0,-0.5,-21.6,0.1
"      Molders and molding machine setters, operators, and tenders, metal and plastic",51-4070,Summary,179.4,170.5,0.1,0.1,-8.9,-5.0,14.6
        Foundry mold and coremakers,51-4071,Line item,11.5,8.8,0.0,0.0,-2.7,-23.5,0.6
"        Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",51-4072,Line item,167.9,161.7,0.1,0.1,-6.2,-3.7,13.9
"      Multiple machine tool setters, operators, and tenders, metal and plastic",51-4081,Line item,139.9,140.7,0.1,0.1,0.8,0.6,13.6
      Tool and die makers,51-4111,Line item,62.7,57.4,0.0,0.0,-5.3,-8.5,5.6
"      Welding, soldering, and brazing workers",51-4120,Summary,464.7,468.1,0.3,0.3,3.4,0.7,45.4
"        Welders, cutters, solderers, and brazers",51-4121,Line item,431.8,438.0,0.3,0.3,6.2,1.4,42.6
"        Welding, soldering, and brazing machine setters, operators, and tenders",51-4122,Line item,32.9,30.1,0.0,0.0,-2.8,-8.4,2.8
      Miscellaneous metal workers and plastic workers,51-4190,Summary,83.0,75.5,0.1,0.0,-7.4,-8.9,6.9
"        Heat treating equipment setters, operators, and tenders, metal and plastic",51-4191,Line item,16.0,14.6,0.0,0.0,-1.5,-9.1,1.3
"        Layout workers, metal and plastic",51-4192,Line item,7.1,6.4,0.0,0.0,-0.7,-10.2,0.6
"        Plating machine setters, operators, and tenders, metal and plastic",51-4193,Line item,32.9,29.8,0.0,0.0,-3.1,-9.4,2.7
"        Tool grinders, filers, and sharpeners",51-4194,Line item,5.5,5.0,0.0,0.0,-0.5,-8.5,0.5
"        Metal workers and plastic workers, all other",51-4199,Line item,21.4,19.8,0.0,0.0,-1.7,-7.8,1.8
    Printing workers,51-5100,Summary,222.5,198.1,0.1,0.1,-24.4,-11.0,19.7
      Prepress technicians and workers,51-5111,Line item,25.7,21.3,0.0,0.0,-4.4,-17.1,2.5
      Printing press operators,51-5112,Line item,155.5,142.3,0.1,0.1,-13.2,-8.5,14.4
      Print binding and finishing workers,51-5113,Line item,41.4,34.6,0.0,0.0,-6.8,-16.4,2.8
"    Textile, apparel, and furnishings workers",51-6000,Summary,536.3,490.3,0.3,0.3,-46.0,-8.6,57.7
      Laundry and dry-cleaning workers,51-6011,Line item,184.4,182.0,0.1,0.1,-2.3,-1.3,24.5
"      Pressers, textile, garment, and related materials",51-6021,Line item,29.8,23.3,0.0,0.0,-6.5,-21.8,2.7
      Sewing machine operators,51-6031,Line item,141.9,120.3,0.1,0.1,-21.6,-15.2,12.5
      Shoe and leather workers,51-6040,Summary,13.1,11.7,0.0,0.0,-1.4,-10.9,1.3
        Shoe and leather workers and repairers,51-6041,Line item,9.8,8.7,0.0,0.0,-1.1,-11.0,1.0
        Shoe machine operators and tenders,51-6042,Line item,3.3,2.9,0.0,0.0,-0.4,-10.9,0.3
"      Tailors, dressmakers, and sewers",51-6050,Summary,40.9,35.1,0.0,0.0,-5.7,-14.0,4.6
"        Sewers, hand",51-6051,Line item,6.9,5.8,0.0,0.0,-1.1,-15.8,0.8
"        Tailors, dressmakers, and custom sewers",51-6052,Line item,33.9,29.3,0.0,0.0,-4.6,-13.6,3.8
"      Textile machine setters, operators, and tenders",51-6060,Summary,60.9,55.0,0.0,0.0,-5.9,-9.7,5.8
        Textile bleaching and dyeing machine operators and tenders,51-6061,Line item,7.0,6.4,0.0,0.0,-0.7,-9.5,0.7
"        Textile cutting machine setters, operators, and tenders",51-6062,Line item,11.1,9.9,0.0,0.0,-1.2,-10.8,1.0
"        Textile knitting and weaving machine setters, operators, and tenders",51-6063,Line item,17.8,15.9,0.0,0.0,-1.9,-10.5,1.7
"        Textile winding, twisting, and drawing out machine setters, operators, and tenders",51-6064,Line item,25.0,22.9,0.0,0.0,-2.2,-8.6,2.4
"      Miscellaneous textile, apparel, and furnishings workers",51-6090,Summary,65.4,62.8,0.0,0.0,-2.5,-3.9,6.3
"        Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",51-6091,Line item,16.3,15.9,0.0,0.0,-0.4,-2.3,1.7
        Fabric and apparel patternmakers,51-6092,Line item,3.4,3.1,0.0,0.0,-0.2,-7.4,0.3
        Upholsterers,51-6093,Line item,31.5,30.7,0.0,0.0,-0.8,-2.5,2.8
"        Textile, apparel, and furnishings workers, all other",51-6099,Line item,14.3,13.2,0.0,0.0,-1.1,-7.8,1.4
    Woodworkers,51-7000,Summary,253.9,250.7,0.2,0.1,-3.2,-1.3,25.0
      Cabinetmakers and bench carpenters,51-7011,Line item,105.7,103.7,0.1,0.1,-2.0,-1.9,9.8
      Furniture finishers,51-7021,Line item,19.2,19.1,0.0,0.0,-0.1,-0.7,2.2
"      Model makers and patternmakers, wood",51-7030,Summary,1.6,1.5,0.0,0.0,-0.1,-4.0,0.2
"        Model makers, wood",51-7031,Line item,1.1,1.0,0.0,0.0,0.0,-3.6,0.1
"        Patternmakers, wood",51-7032,Line item,0.5,0.5,0.0,0.0,0.0,-5.1,0.1
"      Woodworking machine setters, operators, and tenders",51-7040,Summary,114.0,113.4,0.1,0.1,-0.6,-0.5,11.4
"        Sawing machine setters, operators, and tenders, wood",51-7041,Line item,49.4,49.5,0.0,0.0,0.1,0.1,5.5
"        Woodworking machine setters, operators, and tenders, except sawing",51-7042,Line item,64.6,63.9,0.0,0.0,-0.6,-1.0,5.9
"      Woodworkers, all other",51-7099,Line item,13.5,13.0,0.0,0.0,-0.5,-3.6,1.5
    Plant and system operators,51-8000,Summary,287.8,273.0,0.2,0.2,-14.8,-5.1,24.2
"      Power plant operators, distributors, and dispatchers",51-8010,Summary,47.3,42.6,0.0,0.0,-4.7,-10.0,3.2
        Nuclear power reactor operators,51-8011,Line item,5.5,5.3,0.0,0.0,-0.2,-3.3,0.4
        Power distributors and dispatchers,51-8012,Line item,9.6,9.1,0.0,0.0,-0.5,-5.0,0.7
        Power plant operators,51-8013,Line item,32.2,28.2,0.0,0.0,-4.0,-12.5,2.1
      Stationary engineers and boiler operators,51-8021,Line item,33.5,34.4,0.0,0.0,1.0,2.8,3.6
      Water and wastewater treatment plant and system operators,51-8031,Line item,124.8,116.9,0.1,0.1,-7.9,-6.3,10.5
      Miscellaneous plant and system operators,51-8090,Summary,82.2,79.1,0.0,0.0,-3.1,-3.8,7.0
        Chemical plant and system operators,51-8091,Line item,19.3,18.6,0.0,0.0,-0.6,-3.2,1.7
        Gas plant operators,51-8092,Line item,14.8,13.0,0.0,0.0,-1.7,-11.7,1.1
"        Petroleum pump system operators, refinery operators, and gaugers",51-8093,Line item,32.2,31.5,0.0,0.0,-0.7,-2.3,2.8
"        Plant and system operators, all other",51-8099,Line item,15.9,15.9,0.0,0.0,0.0,-0.2,1.4
    Other production occupations,51-9000,Summary,"2,655.3","2,603.9",1.6,1.5,-51.4,-1.9,282.1
"      Chemical processing machine setters, operators, and tenders",51-9010,Summary,175.9,171.2,0.1,0.1,-4.6,-2.6,15.6
        Chemical equipment operators and tenders,51-9011,Line item,120.2,113.7,0.1,0.1,-6.6,-5.5,10.2
"        Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",51-9012,Line item,55.6,57.6,0.0,0.0,1.9,3.4,5.4
"      Crushing, grinding, polishing, mixing, and blending workers",51-9020,Summary,157.3,155.2,0.1,0.1,-2.1,-1.3,15.7
"        Crushing, grinding, and polishing machine setters, operators, and tenders",51-9021,Line item,28.8,27.8,0.0,0.0,-1.0,-3.5,2.8
"        Grinding and polishing workers, hand",51-9022,Line item,14.5,11.7,0.0,0.0,-2.8,-19.5,1.0
"        Mixing and blending machine setters, operators, and tenders",51-9023,Line item,114.0,115.8,0.1,0.1,1.7,1.5,11.8
      Cutting workers,51-9030,Summary,64.0,59.4,0.0,0.0,-4.6,-7.2,6.1
"        Cutters and trimmers, hand",51-9031,Line item,8.3,5.9,0.0,0.0,-2.3,-28.2,0.5
"        Cutting and slicing machine setters, operators, and tenders",51-9032,Line item,55.8,53.4,0.0,0.0,-2.3,-4.1,5.6
"      Extruding, forming, pressing, and compacting machine setters, operators, and tenders",51-9041,Line item,60.0,59.2,0.0,0.0,-0.8,-1.3,5.8
"      Furnace, kiln, oven, drier, and kettle operators and tenders",51-9051,Line item,16.2,16.2,0.0,0.0,0.1,0.4,1.8
"      Inspectors, testers, sorters, samplers, and weighers",51-9061,Line item,595.4,572.4,0.4,0.3,-23.0,-3.9,64.3
      Jewelers and precious stone and metal workers,51-9071,Line item,47.2,45.8,0.0,0.0,-1.4,-2.9,6.1
      Dental and ophthalmic laboratory technicians and medical appliance technicians,51-9080,Summary,73.4,72.4,0.0,0.0,-1.0,-1.3,8.3
        Dental laboratory technicians,51-9081,Line item,35.4,33.8,0.0,0.0,-1.6,-4.5,3.8
        Medical appliance technicians,51-9082,Line item,16.6,17.1,0.0,0.0,0.4,2.5,2.0
        Ophthalmic laboratory technicians,51-9083,Line item,21.3,21.6,0.0,0.0,0.2,1.1,2.5
      Packaging and filling machine operators and tenders,51-9111,Line item,373.2,390.5,0.2,0.2,17.3,4.6,42.4
      Painting workers,51-9120,Summary,185.9,186.9,0.1,0.1,1.0,0.5,16.7
"        Painting, coating, and decorating workers",51-9123,Line item,13.5,13.5,0.0,0.0,0.0,0.1,1.2
"        Coating, painting, and spraying machine setters, operators, and tenders",51-9124,Line item,172.4,173.4,0.1,0.1,1.0,0.6,15.5
      Semiconductor processing technicians,51-9141,Line item,24.6,26.6,0.0,0.0,2.0,8.0,2.9
      Photographic process workers and processing machine operators,51-9151,Line item,6.4,5.6,0.0,0.0,-0.8,-12.5,0.7
      Computer numerically controlled tool operators and programmers,51-9160,Summary,210.3,200.2,0.1,0.1,-10.1,-4.8,17.5
        Computer numerically controlled tool operators,51-9161,Line item,181.8,167.2,0.1,0.1,-14.6,-8.1,14.3
        Computer numerically controlled tool programmers,51-9162,Line item,28.5,33.0,0.0,0.0,4.6,16.0,3.2
      Miscellaneous production workers,51-9190,Summary,665.6,642.3,0.4,0.4,-23.3,-3.5,78.1
        Adhesive bonding machine operators and tenders,51-9191,Line item,11.4,11.2,0.0,0.0,-0.3,-2.2,1.0
"        Cleaning, washing, and metal pickling equipment operators and tenders",51-9192,Line item,14.0,14.5,0.0,0.0,0.5,3.8,1.6
        Cooling and freezing equipment operators and tenders,51-9193,Line item,7.1,7.4,0.0,0.0,0.4,5.1,0.8
        Etchers and engravers,51-9194,Line item,8.5,8.4,0.0,0.0,0.0,-0.2,1.3
"        Molders, shapers, and casters, except metal and plastic",51-9195,Line item,44.7,45.8,0.0,0.0,1.1,2.4,5.8
"        Paper goods machine setters, operators, and tenders",51-9196,Line item,92.7,82.5,0.1,0.0,-10.2,-11.0,8.8
        Tire builders,51-9197,Line item,18.9,18.1,0.0,0.0,-0.8,-4.3,1.8
        Helpers--production workers,51-9198,Line item,193.0,175.1,0.1,0.1,-17.9,-9.3,26.9
"        Production workers, all other",51-9199,Line item,275.3,279.2,0.2,0.2,3.9,1.4,30.1
  Transportation and material moving occupations,53-0000,Summary,"14,302.8","15,082.2",8.7,8.9,779.4,5.4,"1,920.8"
    Supervisors of transportation and material moving workers,53-1000,Summary,609.1,637.9,0.4,0.4,28.8,4.7,64.8
      Aircraft cargo handling supervisors,53-1041,Line item,8.0,8.7,0.0,0.0,0.7,8.6,0.9
"      First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors",53-1047,Line item,601.1,629.2,0.4,0.4,28.1,4.7,63.9
    Air transportation workers,53-2000,Summary,291.7,311.0,0.2,0.2,19.3,6.6,36.9
      Aircraft pilots and flight engineers,53-2010,Summary,142.6,148.1,0.1,0.1,5.6,3.9,16.8
"        Airline pilots, copilots, and flight engineers",53-2011,Line item,91.7,95.2,0.1,0.1,3.5,3.9,10.8
        Commercial pilots,53-2012,Line item,50.9,52.9,0.0,0.0,2.1,4.0,6.0
      Air traffic controllers and airfield operations specialists,53-2020,Summary,38.0,39.1,0.0,0.0,1.1,2.8,3.4
        Air traffic controllers,53-2021,Line item,23.0,23.3,0.0,0.0,0.3,1.4,2.0
        Airfield operations specialists,53-2022,Line item,15.0,15.8,0.0,0.0,0.7,4.9,1.4
      Flight attendants,53-2031,Line item,111.1,123.8,0.1,0.1,12.6,11.4,16.6
    Motor vehicle operators,53-3000,Summary,"4,887.0","5,224.7",3.0,3.1,337.7,6.9,589.2
"      Ambulance drivers and attendants, except emergency medical technicians",53-3011,Line item,10.1,10.1,0.0,0.0,0.0,0.2,1.4
      Driver/sales workers and truck drivers,53-3030,Summary,"3,897.8","4,162.8",2.4,2.5,265.0,6.8,445.0
